identifier	type	label	parent	intersection	description	sce	principal quantum number	azimuthal quantum number	magnetic quantum number	see also	depiction
ID	TYPE	AT rdfs:label^^xsd:string	SC %	SC %	AT dc:description^^xsd:string	SC %	SC 'has principal quantum number' value %	SC 'has azimuthal quantum number' value %	SC 'has magnetic quantum number' value %		
ORBITAL:0000064	class	gz⁴ equation	ORBITAL:0000047		for m=4 and m_l=0					https://chem.libretexts.org/Ancillary_Materials/Reference/Reference_Tables/Mathematical_Functions/M4%3A_Spherical_Harmonics	
ORBITAL:0000065	class	gz³x equation	ORBITAL:0000047		for m=4 and m_l=±1					https://chem.libretexts.org/Ancillary_Materials/Reference/Reference_Tables/Mathematical_Functions/M4%3A_Spherical_Harmonics	
ORBITAL:0000066	class	gz³y equation	ORBITAL:0000047		for m=4 and m_l=±1					https://chem.libretexts.org/Ancillary_Materials/Reference/Reference_Tables/Mathematical_Functions/M4%3A_Spherical_Harmonics	
ORBITAL:0000067	class	gz²(x²-y²) equation	ORBITAL:0000047		for m=4 and m_l=±2					https://chem.libretexts.org/Ancillary_Materials/Reference/Reference_Tables/Mathematical_Functions/M4%3A_Spherical_Harmonics	
ORBITAL:0000068	class	gxyz² equation	ORBITAL:0000047		for m=4 and m_l=±2					https://chem.libretexts.org/Ancillary_Materials/Reference/Reference_Tables/Mathematical_Functions/M4%3A_Spherical_Harmonics	
ORBITAL:0000069	class	gz(x³-3xy²) equation	ORBITAL:0000047		for m=4 and m_l=±3					https://chem.libretexts.org/Ancillary_Materials/Reference/Reference_Tables/Mathematical_Functions/M4%3A_Spherical_Harmonics	
ORBITAL:0000070	class	gy(3x²-y²)z equation	ORBITAL:0000047		for m=4 and m_l=±3					https://chem.libretexts.org/Ancillary_Materials/Reference/Reference_Tables/Mathematical_Functions/M4%3A_Spherical_Harmonics	
ORBITAL:0000071	class	gx⁴-6x²y²+y⁴ equation	ORBITAL:0000047		for m=4 and m_l=±4					https://chem.libretexts.org/Ancillary_Materials/Reference/Reference_Tables/Mathematical_Functions/M4%3A_Spherical_Harmonics	
ORBITAL:0000072	class	gxy(x²-y²) equation	ORBITAL:0000047		for m=4 and m_l=±4					https://chem.libretexts.org/Ancillary_Materials/Reference/Reference_Tables/Mathematical_Functions/M4%3A_Spherical_Harmonics	
ORBITAL:0000073	class	hz⁵ equation	ORBITAL:0000047		for m=5 and m_l=0						
ORBITAL:0000074	class	hxz⁴ equation	ORBITAL:0000047		for m=5 and m_l=±1						
ORBITAL:0000075	class	hyz⁴ equation	ORBITAL:0000047		for m=5 and m_l=±1						
ORBITAL:0000076	class	hz³xy equation	ORBITAL:0000047		for m=5 and m_l=±2						
ORBITAL:0000077	class	hz³(x²-y²) equation	ORBITAL:0000047		for m=5 and m_l=±2						
ORBITAL:0000078	class	hz²x³ equation	ORBITAL:0000047		for m=5 and m_l=±3						
ORBITAL:0000079	class	hz²y³ equation	ORBITAL:0000047		for m=5 and m_l=±3						
ORBITAL:0000080	class	hz(4x³y-4xy³) equation	ORBITAL:0000047		for m=5 and m_l=±4						
ORBITAL:0000081	class	hz(x⁴-6x²y²+y⁴) equation	ORBITAL:0000047		for m=5 and m_l=±4						
ORBITAL:0000082	class	hxy⁴ equation	ORBITAL:0000047		for m=5 and m_l=±5						
ORBITAL:0000083	class	hyx⁴ equation	ORBITAL:0000047		for m=5 and m_l=±5						
ORBITAL:0000084	class	i₀ equation	ORBITAL:0000047		for m=6 and m_l=0						
ORBITAL:0000085	class	i₁ equation 1	ORBITAL:0000047		for m=6 and m_l=±1						
ORBITAL:0000086	class	i₁ equation 2	ORBITAL:0000047		for m=6 and m_l=±1						
ORBITAL:0000087	class	i₂ equation 1	ORBITAL:0000047		for m=6 and m_l=±2						
ORBITAL:0000088	class	i₂ equation 2	ORBITAL:0000047		for m=6 and m_l=±2						
ORBITAL:0000089	class	i₃ equation 1	ORBITAL:0000047		for m=6 and m_l=±3						
ORBITAL:0000090	class	i₃ equation 2	ORBITAL:0000047		for m=6 and m_l=±3						
ORBITAL:0000091	class	i₄ equation 1	ORBITAL:0000047		for m=6 and m_l=±4						
ORBITAL:0000092	class	i₄ equation 2	ORBITAL:0000047		for m=6 and m_l=±4						
ORBITAL:0000093	class	i₅ equation 1	ORBITAL:0000047		for m=6 and m_l=±5						
ORBITAL:0000094	class	i₅ equation 2	ORBITAL:0000047		for m=6 and m_l=±5						
ORBITAL:0000095	class	i₆ equation 1	ORBITAL:0000047		for m=6 and m_l=±6						
ORBITAL:0000096	class	i₆ equation 2	ORBITAL:0000047		for m=6 and m_l=±6						
ORBITAL:0000100	class	atomic orbital by principal, azimuthal, and magnetic quantum number	ORBITAL:0000001								
ORBITAL:0000101	class	1s₀ orbital	ORBITAL:0000100	'1s orbital' and 'orbital with magnetic quantum number 0'			1	0	0		
ORBITAL:0000102	class	2s₀ orbital	ORBITAL:0000100	'2s orbital' and 'orbital with magnetic quantum number 0'			2	0	0		
ORBITAL:0000103	class	2p₀ orbital	ORBITAL:0000100	'2p orbital' and 'orbital with magnetic quantum number 0'	Typically written with cartesian equation pz		2	1	0		
ORBITAL:0000104	class	2p₁ orbital	ORBITAL:0000100	'2p orbital' and 'orbital with magnetic quantum number +1'	Linear combination of cartesian equations 2px and 2py		2	1			
ORBITAL:0000105	class	2p₋₁ orbital	ORBITAL:0000100	'2p orbital' and 'orbital with magnetic quantum number -1'	Linear combination of cartesian equations 2px and 2py		2	1			
ORBITAL:0000106	class	3s₀ orbital	ORBITAL:0000100	'3s orbital' and 'orbital with magnetic quantum number 0'			3	0	0		
ORBITAL:0000107	class	3p₀ orbital	ORBITAL:0000100	'3p orbital' and 'orbital with magnetic quantum number 0'	Typically written as cartesian equation 3pz		3	1	0		
ORBITAL:0000108	class	3p₁ orbital	ORBITAL:0000100	'3p orbital' and 'orbital with magnetic quantum number +1'	Linear combination of cartesian equations 3px and 3py		3	1	1		
ORBITAL:0000109	class	3p₋₁ orbital	ORBITAL:0000100	'3p orbital' and 'orbital with magnetic quantum number -1'	Linear combination of cartesian equations 3px and 3py		3	1	-1		
ORBITAL:0000110	class	3d₀ orbital	ORBITAL:0000100	'3d orbital' and 'orbital with magnetic quantum number 0'			3	2	0		
ORBITAL:0000111	class	3d₁ orbital	ORBITAL:0000100	'3d orbital' and 'orbital with magnetic quantum number +1'	Linear combination of cartesian equations 3dxz and 3dyz		3	2	1		
ORBITAL:0000112	class	3d₋₁ orbital	ORBITAL:0000100	'3d orbital' and 'orbital with magnetic quantum number -1'	Linear combination of cartesian equations 3dxz and 3dyz		3	2	-1		
ORBITAL:0000113	class	3d₂ orbital	ORBITAL:0000100	'3d orbital' and 'orbital with magnetic quantum number +2'	Linear combination of cartesian equations 3dxy and 3dx²-y² 		3	2	2		
